Rice,	6,	635,	Total3810 
 Tea,	7,	204,	Total1428 
 Coffee,	7,	230,	Total1610 
 Rice,	6,	100,	Total600 
 Coffee,	7,	230,	Total1610 
 Olive Oil,	5,	330,	Total1650 
 Tea,	7,	332,	Total2324 
 Coffee,	6,	230,	Total1380 
 Airfreshner,	5,	258,	Total1290 
 DishWasher,	7,	230,	Total1610 
 Salt,	8,	204,	Total1632 
 Salt,	8,	100,	Total800 
 Airfreshner,	6,	264,	Total1584 
 Salt,	3,	635,	Total1905 
 Tea,	7,	330,	Total2310 
 Olive Oil,	6,	264,	Total1584 
 Olive Oil,	8,	332,	Total2656 
 Coffee,	6,	230,	Total1380 
 Salt,	6,	635,	Total3810 
 Tea,	6,	258,	Total1548 
 DishWasher,	7,	330,	Total2310 
 Rice,	6,	240,	Total1440 
 Detergent,	8,	100,	Total800 
 Tea,	8,	230,	Total1840 
 Detergent,	6,	240,	Total1440 
 Sugar,	6,	264,	Total1584 
 Sugar,	6,	100,	Total600 
 Airfreshner,	3,	264,	Total792 
 Salt,	8,	100,	Total800 
 Flour,	8,	230,	Total1840 
 Rice,	5,	100,	Total500 
 Rice,	5,	332,	Total1660 
 Airfreshner,	6,	230,	Total1380 
 Rice,	3,	264,	Total792 
 Salt,	8,	100,	Total800 
 Flour,	6,	100,	Total600 
 Rice,	8,	330,	Total2640 
 Rice,	6,	230,	Total1380 
 Olive Oil,	3,	264,	Total792 
 Airfreshner,	8,	240,	Total1920 
 Rice,	5,	230,	Total1150 
 Olive Oil,	8,	240,	Total1920 
 Salt,	6,	240,	Total1440 
 Flour,	8,	204,	Total1632 
 Rice,	6,	100,	Total600 
 Detergent,	8,	230,	Total1840 
 Flour,	8,	230,	Total1840 
 Tea,	6,	230,	Total1380 
 Rice,	7,	264,	Total1848 
 Rice,	8,	230,	Total1840 
 Rice,	3,	264,	Total792 
 Tea,	8,	230,	Total1840 
 Sugar,	8,	258,	Total2064 
 DishWasher,	8,	100,	Total800 
 DishWasher,	5,	264,	Total1320 
 DishWasher,	8,	230,	Total1840 
 DishWasher,	5,	240,	Total1200 
 Olive Oil,	3,	264,	Total792 
 Rice,	7,	332,	Total2324 
 Rice,	3,	230,	Total690 
 Coffee,	3,	635,	Total1905 
 DishWasher,	8,	230,	Total1840 
 Tea,	5,	330,	Total1650 
 DishWasher,	5,	258,	Total1290 
 Flour,	6,	264,	Total1584 
 Salt,	5,	635,	Total3175 
 DishWasher,	5,	240,	Total1200 
 Detergent,	6,	240,	Total1440 
 Flour,	6,	204,	Total1224 
 Rice,	8,	230,	Total1840 
 Olive Oil,	6,	240,	Total1440 
 Airfreshner,	3,	100,	Total300 
 DishWasher,	6,	635,	Total3810 
 Flour,	6,	635,	Total3810 
 Airfreshner,	7,	240,	Total1680 
 Sugar,	6,	332,	Total1992 
 Tea,	6,	330,	Total1980 
 Sugar,	8,	330,	Total2640 
 Airfreshner,	8,	240,	Total1920 
 Olive Oil,	8,	264,	Total2112 
 Airfreshner,	8,	330,	Total2640 
 Tea,	7,	204,	Total1428 
 Coffee,	6,	204,	Total1224 
 Flour,	6,	264,	Total1584 
 Airfreshner,	6,	100,	Total600 
 Tea,	6,	240,	Total1440 
 Sugar,	3,	332,	Total996 
 Olive Oil,	6,	230,	Total1380 
 Olive Oil,	5,	635,	Total3175 
 Coffee,	6,	230,	Total1380 
 Sugar,	6,	100,	Total600 
 Rice,	8,	230,	Total1840 
 Salt,	6,	635,	Total3810 
 Rice,	3,	258,	Total774 
 DishWasher,	8,	230,	Total1840 
 Sugar,	8,	635,	Total5080 
 Sugar,	5,	332,	Total1660 
 Rice,	3,	240,	Total720 
 Salt,	6,	100,	Total600 
 Salt,	5,	230,	Total1150 
 
